CNAPS号,银行名称,地址
************,************,************
"001372634004	","中国人民银行涡阳县支行",""
"001372934002	","中国人民银行颍上县支行",""
"001372234003	","中国人民银行亳州市中心支行",""
"001372734005	","中国人民银行蒙城县支行",""
"001372834009	","中国人民银行阜南县支行",""
"001373234008	","中国人民银行利辛县支行",""
"001374034008	","中国人民银行宿州中心支行",""
"001378334004	","中国人民银行无为县支行",""
"001395035009	","中国人民银行三明市中心支行",""
"001395235008	","人民银行清流县支行",""
"001399835004	","人民银行平和县支行",""
"001399935002	","人民银行华安县支行",""
"001379334009	","中国人民银行石台县支行",""
"001391035007	","中国人民银行福州中心支行",""
"001391035082	","中国人民银行罗源县支行",""
"001394035000	","中国人民银行莆田市中心支行",""
"001399135000	","人民银行龙海市支行",""
"001378534009	","中国人民银行和县支行",""
"001391035031	","中国人民银行闽清县支行",""
"001395535004	","人民银行尤溪县支行",""
"001399235003	","人民银行云霄县支行",""
"001401035008	","中国人民银行南平市中心支行",""
"001379234005	","中国人民银行东至县支行",""
"001391035066	","中国人民银行永泰县支行",""
"001391035074	","中国人民银行平潭县支行",""
"001395435005	","人民银行大田县支行",""
"001397035005	","中国人民银行泉州市中心支行",""
"001378434005	","中国人民银行含山县支行",""
"001379434002	","中国人民银行青阳县支行",""
"001395835000	","人民银行泰宁县支行",""
"001399435007	","人民银行诏安县支行",""
"001399635001	","人民银行东山县支行",""
"001378234006	","中国人民银行庐江县支行",""
"001391035023	","中国人民银行福清市支行",""
"001393035002	","中国人民银行厦门市中心支行",""
"001399035006	","中国人民银行漳州市中心支行",""
"001399335009	","人民银行漳浦县支行",""
"001264123002	","中国人民银行龙江县支行",""
"001264423005	","中国人民银行泰来县支行",""
"001265023006	","中国人民银行大庆市中心支行",""
"001264323000	","中国人民银行依安县支行",""
"001268123003	","中国人民银行集贤县支行",""
"001269023003	","中国人民银行佳木斯市中心支行",""
"001271123004	","中国人民银行嘉荫县支行",""
"001271223003	","中国人民银行铁力市支行",""
"001261023026	","中国人民银行呼兰县支行",""
"001264523009	","中国人民银行甘南县支行",""
"001267223004	","中国人民银行绥滨县支行",""
"001271023008	","中国人民银行伊春市中心支行",""
"001272023001	","中国人民银行牡丹江市中心支行",""
"001261023075	","中国人民银行尚志市支行",""
"001261023091	","中国人民银行延寿县支行",""
"001264623007	","中国人民银行杜蒙县支行",""
"001264723008	","中国人民银行富裕县支行",""
"001264823004	","中国人民银行林甸县支行",""
"001252022000	","中国人民银行松原市中心支行",""
"001261023000	","中国人民银行哈尔滨中心支行营业部",""
"001261023059	","中国人民银行巴彦县支行",""
"001261023067	","中国人民银行宾县支行",""
"001264923003	","中国人民银行克山县支行",""
"001272123002	","中国人民银行桦南县支行",""
"001274123009	","中国人民银行勃利县支行",""
"001275723000	","中国人民银行绥芬河市支行",""
"001276423006	","中国人民银行海伦市支行",""
"001277223002	","中国人民银行明水县支行",""
"001272723008	","中国人民银行抚远县支行",""
"001272923003	","中国人民银行同江市支行",""
"001275823005	","中国人民银行密山市支行",""
"001276523000	","中国人民银行望奎县支行",""
"001277323006	","中国人民银行绥棱县支行",""
"001272623007	","中国人民银行饶河县支行",""
"001272823004	","中国人民银行友谊县支行",""
"001275323003	","中国人民银行穆棱市支行",""
"001275623006	","中国人民银行虎林市支行",""
"001277123001	","中国人民银行庆安县支行",""
"001272423005	","中国人民银行宝清县支行",""
"001276723009	","中国人民银行青冈县支行",""
"001278023002	","中国人民银行黑河市中心支行",""
"001278223000	","中国人民银行北安市支行",""
"001278323005	","中国人民银行五大连池市支行",""
"001272523009	","中国人民银行汤原县支行",""
"001274023005	","中国人民银行七台河市中心支行",""
"001275523002	","中国人民银行林口县支行",""
"001276323002	","中国人民银行肇东市支行",""
"001276923008	","中国人民银行肇州县支行",""
"001272323000	","中国人民银行桦川县支行",""
"001168014001	","中国人民银行晋城市中心支行",""
"001191015049	","中国人民银行和林格尔县支行",""
"001191015057	","中国人民银行清水河县支行",""
"001148813007	","中国人民银行安平县支行",""
"001164014000	","中国人民银行长治市中心支行",""
"001192015004	","中国人民银行包头市中心支行",""
"001192015012	","中国人民银行包头市郊区支行",""
"001192115002	","中国人民银行土默特右旗支行",""
"001149213002	","中国人民银行阜城县支行",""
"001192215006	","中国人民银行固阳县支行",""
"001193015006	","中国人民银行乌海市中心支行",""
"001194015005	","中国人民银行赤峰市中心支行",""
"001194015013	","中国人民银行元宝山区支行",""
"001148413002	","中国人民银行武邑县支行",""
"001148713009	","中国人民银行饶阳县支行",""
"001163014008	","中国人民银行阳泉市中心支行",""
"001177014003	","中国人民银行临汾市中心支行",""
"001181014007	","中国人民银行运城市中心支行",""
"001148613005	","中国人民银行武强县支行",""
"001148913008	","中国人民银行故城县支行",""
"001161014004	","中国人民银行太原中心支行营业部",""
"001162014009	","中国人民银行大同市中心支行",""
"001191015008	","中国人民银行呼和浩特中心支行营业部",""
"001194115009	","中国人民银行阿鲁科尔沁旗支行",""
"001194515003	","中国人民银行克什克腾旗支行",""
"001198315005	","中国人民银行科尔沁右翼中旗支行",""
"001198615008	","中国人民银行阿尔山市支行",""
"001199515001	","人民银行开鲁县支行",""
"001194715002	","中国人民银行喀喇沁旗支行",""
"001196015001	","中国人民银行呼伦贝尔市中心支行",""
"001196215004	","中国人民银行满洲里市支行",""
"001196615005	","中国人民银行莫力达瓦达斡尔族自治旗支行",""
"001197315006	","中国人民银行新巴尔虎左旗支行",""
"001198015002	","中国人民银行兴安盟中心支行",""
"001198515007	","中国人民银行突泉县支行",""
"001199015000	","中国人民银行通辽市中心支行",""
"001199715004	","人民银行奈曼旗支行",""
"001201115006	","中国人民银行二连浩市支行",""
"001194615004	","中国人民银行翁牛特旗支行",""
"001196315002	","中国人民银行扎兰屯市支行",""
"001196815007	","中国人民银行根河市支行",""
