CNAPS号,银行名称,地址
************,************,************
"103641033601	","中国农业银行文昌市支行龙楼分理处",""
"103641033907	","中国农业银行股份有限公司文昌锦山支行",""
"103641034006	","中国农业银行股份有限公司文昌铺前分理处",""
"103641041804	","中国农业银行股份有限公司万宁和乐分理处",""
"103651091082	","中国农业银行股份有限公司成都紫荆支行",""
"103651091120	","中国农业银行股份有限公司成都西安路分理处",""
"103651083486	","中国农业银行股份有限公司成都天府长城支行",""
"103651086169	","中国农业银行股份有限公司彭州通济分理处",""
"103651086388	","中国农业银行股份有限公司大邑晋原分理处",""
"103651086642	","中国农业银行股份有限公司崇州唐人街分理处",""
"103651086933	","中国农业银行股份有限公司邛崃羊安分理处",""
"103651087266	","中国农业银行股份有限公司成都九里堤南路支行",""
"103651085086	","中国农业银行股份有限公司温江永盛分理处",""
"103651085393	","中国农业银行股份有限公司成都都江堰支行观凤楼分理处",""
"103651086030	","中国农业银行股份有限公司彭州城郊分理处",""
"103651086780	","中国农业银行股份有限公司崇州街子分理处",""
"103651089119	","中国农业银行四川省成都体育场路支行",""
"103653004012	","中国农业银行股份有限公司沙坪坝支行营业部",""
"103653004088	","中国农业银行股份有限公司重庆沙坪坝歌乐山支行",""
"103653004096	","中国农业银行股份有限公司重庆沙坪坝双碑支行",""
"103653004131	","中国农业银行股份有限公司重庆沙坪坝青木关支行",""
"103653004279	","中国农业银行股份有限公司重庆沙坪坝台资园支行",""
"103641016805	","中国农业银行股份有限公司海口秀英港支行",""
"103641027404	","中国农业银行海口市红城湖支行营业部",""
"103641027806	","中国农业银行海口美兰分理处",""
"103588052302	","中国农业银行股份有限公司南海松岗支行",""
"103588053401	","中国农业银行股份有限公司南海九江支行",""
"103589037003	","中国农业银行股份有限公司江门分行清算中心（非转汇行）",""
"103592256600	","中国农业银行股份有限公司高州云潭支行",""
"103592256659	","中国农业银行股份有限公司高州泗水支行",""
"103592256667	","中国农业银行股份有限公司高州石鼓支行",""
"103592256714	","中国农业银行股份有限公司高州南塘支行",""
"103589440190	","中国农业银行股份有限公司开平长沙支行",""
"103589440204	","中国农业银行股份有限公司开平富华支行",""
"103581007640	","中国农业银行股份有限公司广州番禺钟村支行",""
"103581007703	","中国农业银行股份有限公司广州番禺福景支行",""
"103581007875	","中国农业银行股份有限公司广州番禺美心支行",""
"103581008013	","中国农业银行股份有限公司广州番禺番山支行",""
"103581008415	","中国农业银行股份有限公司广州南沙政务中心支行",""
"103585035449	","中国农业银行股份有限公司珠海银桦支行",""
"103585035553	","中国农业银行股份有限公司珠海珠宾支行",""
"103585035615	","中国农业银行股份有限公司珠海北岭支行",""
"103585035711	","中国农业银行股份有限公司珠海翠微支行",""
"103585035826	","中国农业银行股份有限公司珠海湾仔支行",""
"103581007658	","中国农业银行股份有限公司广州番禺禺秀支行",""
"103581007779	","中国农业银行股份有限公司广州珠江华侨农场支行",""
"103581007826	","中国农业银行股份有限公司广州番禺祈福新屯阝支行",""
"103581009240	","中国农业银行股份有限公司增城沙埔支行",""
"103581009274	","中国农业银行股份有限公司增城中区支行",""
"103581007631	","中国农业银行股份有限公司广州番禺洛城支行",""
"103589440237	","中国农业银行股份有限公司开平东兴支行",""
"103589440261	","中国农业银行股份有限公司开平水口支行",""
"103589440296	","中国农业银行股份有限公司开平月山支行",""
"103589440307	","中国农业银行股份有限公司开平苍城支行",""
"103581008185	","中国农业银行股份有限公司广州番禺平康支行",""
"103581008562	","中国农业银行股份有限公司广州花都花东支行",""
"103581008739	","中国农业银行股份有限公司广州花都公益大道支行",""
"103581008771	","中国农业银行股份有限公司广州花都雄狮支行",""
"103581009008	","中国农业银行股份有限公司增城挂绿广场支行",""
"103615615219	","中国农业银行广西柳州市融安县支行营业室",""
"103617020013	","中国农业银行股份有限公司桂林分行",""
"103617021514	","中国农业银行广西桂林市七星支行",""
"103619124716	","中国农业银行广西桂林市恭城瑶族自治县支行",""
"103597125603	","中国农业银行股份有限公司海丰县支行",""
"103581009660	","中国农业银行股份有限公司从化河东北支行",""
"103581099992	","中国农业银行股份有限公司广东省分行资金清算中心(不对外办理业",""
"103582071307	","中国农业银行股份有限公司韶关北江支行",""
"103582272708	","中国农业银行股份有限公司始兴县支行",""
"103591163756	","中国农业银行股份有限公司吴川长寿支行",""
"103591163789	","中国农业银行股份有限公司吴川城郊支行",""
"103591263232	","中国农业银行股份有限公司廉江河唇支行",""
"103591263273	","中国农业银行股份有限公司廉江青平支行",""
"103591263361	","中国农业银行股份有限公司廉江北运支行",""
"103581008587	","中国农业银行股份有限公司广州花都新华支行",""
"103581008675	","中国农业银行股份有限公司广州花都龙珠路支行",""
"103581008763	","中国农业银行股份有限公司广州花都雅宝新城支行",""
"103581009065	","中国农业银行股份有限公司增城永和支行",""
"103581009170	","中国农业银行股份有限公司增城广园东碧桂园支行",""
"103591263353	","中国农业银行股份有限公司廉江城北支行",""
"103591362803	","中国农业银行股份有限公司遂溪县支行",""
"103591362820	","中国农业银行股份有限公司遂溪洋青支行",""
"103591362838	","中国农业银行股份有限公司遂溪杨柑支行",""
"103591362959	","中国农业银行股份有限公司遂溪遂安支行",""
"103582872906	","中国农业银行股份有限公司新丰县支行",""
"103584000041	","中国农业银行深圳地王支行",""
"103584000332	","中国农业银行深圳滨海支行",""
"103584000373	","中国农业银行股份有限公司深圳福田口岸支行",""
"103584000488	","中国农业银行深圳八卦岭支行",""
"103591060815	","中国农业银行股份有限公司湛江海川支行",""
"103591060899	","中国农业银行股份有限公司湛江港城支行",""
"103591060903	","中国农业银行股份有限公司湛江人民支行",""
"103591061213	","中国农业银行股份有限公司湛江麻章支行",""
"103586217271	","中国农业银行股份有限公司饶平钱东支行",""
"103586916101	","中国农业银行股份有限公司潮州分行营业部",""
"103584003322	","中国农业银行股份有限公司深圳皇岗商务中心支行",""
"103585035377	","中国农业银行股份有限公司珠海星园支行",""
"103585035481	","中国农业银行股份有限公司珠海迎宾北支行",""
"103585035720	","中国农业银行股份有限公司珠海东门支行",""
"103585036152	","中国农业银行股份有限公司珠海白蕉支行",""
"103586814438	","中国农业银行股份有限公司惠来县支行营业部",""
"103588050136	","中国农业银行股份有限公司南海海欣支行",""
"103588051303	","中国农业银行股份有限公司南海黄岐支行",""
"103588052804	","中国农业银行股份有限公司南海罗村支行",""
"103588053102	","中国农业银行股份有限公司南海西樵支行",""
"103656013248	","中国农业银行股份有限公司攀枝花学园路支行",""
"103656013256	","中国农业银行股份有限公司攀枝花新华街支行",""
"103656013553	","中国农业银行股份有限公司攀枝花华山分理处",""
"103656013826	","中国农业银行股份有限公司盐边倮果分理处",""
"103661029655	","中国农业银行股份有限公司广元三堆分理处",""
"103661128325	","中国农业银行股份有限公司旺苍县新华街分理处",""
"103661128341	","中国农业银行股份有限公司旺苍白水分理处",""
"103661229437	","中国农业银行股份有限公司青川县竹元分理处",""
"103661329053	","中国农业银行股份有限公司剑阁普安分理处",""
"103658020265	","中国农业银行股份有限公司德阳沱江东路分理处",""
"103658421116	","中国农业银行股份有限公司广汉保定路支行",""
"103658522216	","中国农业银行四川省罗江县支行",""
"103659023771	","中国农业银行股份有限公司绵阳跃进路分理处",""
"103659024024	","中国农业银行股份有限公司绵阳警钟街支行",""
"103665240157	","中国农业银行股份有限公司眉山眉州支行",""
"103665240173	","中国农业银行股份有限公司眉山三苏支行",""
"103665337121	","中国农业银行股份有限公司犍为玉津分理处",""
"103665337148	","中国农业银行犍为解放街分理处",""
"103665337228	","中国农业银行犍为石溪分理处",""
"103653018126	","中国农业银行股份有限公司重庆铜梁东桥支行",""
"103653019135	","中国农业银行股份有限公司重庆潼南东安支行",""
"103653020037	","中国农业银行股份有限公司重庆璧山璧城支行",""
"103653020182	","中国农业银行股份有限公司重庆璧山来凤支行",""
"103685963739	","中国农业银行股份有限公司德昌支行新华街分理处",""
"103676368470	","中国农业银行股份有限公司邻水挞子丘分理处",""
"103677454354	","中国农业银行股份有限公司汉源镇郊分理处",""
"103677854726	","中国农业银行股份有限公司宝兴县支行灵关分理处",""
"103679560241	","中国农业银行四川省阿坝州九寨沟县支行",""
"103684063182	","中国农业银行股份有限公司西昌长安支行",""
"103666541277	","中国农业银行四川省丹棱县支行",""
"103667042022	","中国农业银行股份有限公司重庆万州高笋塘支行",""
"103667042080	","中国农业银行股份有限公司重庆万州红光支行",""
"103667043092	","中国农业银行股份有限公司重庆万州白羊支行",""
"103667344074	","中国农业银行股份有限公司重庆开县建材路支行",""
"103666436765	","中国农业银行股份有限公司峨眉山光明大道分理处",""
"103675870522	","中国农业银行四川省巴中市巴州区支行",""
"103675870619	","中国农业银行股份有限公司巴中平梁分理处",""
"103675870643	","中国农业银行股份有限公司巴中南泉支行",""
"103675870709	","中国农业银行股份有限公司巴中新市街分理处",""
"103666436853	","中国农业银行股份有限公司峨眉山报国分理处",""
"103669061020	","中国农业银行股份有限公司重庆涪陵富田支行",""
"103473387587	","中国农业银行股份有限公司郯城城关分理处",""
"103473588141	","中国农业银行股份有限公司临沂临港支行",""
"103473662194	","中国农业银行股份有限公司莒县城里支行",""
"103474189118	","中国农业银行股份有限公司平邑县支行",""
"103491000317	","中国农业银行股份有限公司郑州商都支行",""
"103496134666	","中国农业银行股份有限公司林州市原康支行",""
"103496234841	","中国农业银行股份有限公司安阳县白壁支行",""
"103496234876	","中国农业银行股份有限公司安阳县吕村支行",""
"103496234948	","中国农业银行股份有限公司安阳县晨曦支行",""
"103456034075	","中国农业银行股份有限公司烟台银河分理处",""
"103456034577	","中国农业银行股份有限公司烟台门楼分理处",""
"103456039217	","中国农业银行股份有限公司烟台经济技术开发区支行",""
"103463051115	","中国农业银行泰安市分行泰山区支行",""
"103463051123	","中国农业银行泰安泰山区支行财源办事处",""
"103463051262	","中国农业银行泰安龙泽支行御碑楼分理处",""
"103463051527	","中国农业银行泰安市分行凤台分理处",""
"103463051560	","中国农业银行泰安市分行大汶口办事处",""
"103473264155	","中国农业银行日照岚山支行观海路分理处",""
"103473265301	","中国农业银行日照市分行石臼办事处",""
"103473265109	","中国农业银行日照市分行",""
"103473387546	","中国农业银行股份有限公司郯城李庄分理处",""
"103473487822	","中国农业银行股份有限公司兰陵卞庄分理处",""
"103495020215	","中国农业银行平顶山市中兴路支行",""
"103495020223	","中国农业银行股份有限公司平顶山平兴分理处",""
"103495020547	","中国农业银行股份有限公司平顶山光明路分理处",""
"103495023130	","中国农业银行股份有限公司平顶山体育路分理处",""
"103495023515	","中国农业银行平顶山市卫东区支行",""
"103456039838	","中国农业银行股份有限公司烟台奇山分理处",""
"103456039975	","中国农业银行股份有限公司烟台芝罘岛分理处",""
"103456039942	","中国农业银行股份有限公司烟台幸福中路分理处",""
"103456136172	","中国农业银行股份有限公司蓬莱大柳行分理处",""
"103456236623	","中国农业银行股份有限公司招远招城分理处",""
"103454126337	","中国农业银行枣庄滕州市支行汇源分理处",""
"103463051578	","中国农业银行泰安市分行省庄办事处",""
"103463051869	","中国农业银行泰安市分行山东科技大学分理处",""
"103463051885	","中国农业银行泰安市分行高新区分理处",""
"103463253120	","中国农业银行肥城支行新城办事处",""
"103475391515	","中国农业银行定陶县支行",""
"103474289326	","中国农业银行股份有限公司费县费城分理处",""
"103597226000	","中国农业银行股份有限公司陆丰市支行",""
"103598020094	","中国农业银行股份有限公司河源永和路支行",""
"103598120142	","中国农业银行股份有限公司紫金县支行",""
"103597025227	","中国农业银行股份有限公司汕尾分行",""
"103621031413	","中国农业银行股份有限公司梧州红岭支行",""
"103623070512	","中国农业银行广西北海市分行营业室",""
"103623172009	","中国农业银行广西北海市合浦支行",""
"103628150603	","中国农业银行股份有限公司河池东江分理处",""
"103628150791	","中国农业银行股份有限公司河池花园支行",""
"103594166528	","中国农业银行股份有限公司罗定罗城支行",""
"103595022490	","中国农业银行股份有限公司惠州小金口支行",""
"103595022658	","中国农业银行股份有限公司惠州东平支行",""
"103595023177	","中国农业银行股份有限公司惠州惠阳镇隆支行",""
"103595224405	","中国农业银行股份有限公司博罗园洲支行",""
"103621030592	","中国农业银行股份有限公司梧州分行",""
"103621031376	","中国农业银行股份有限公司梧州河东支行",""
"103622232118	","中国农业银行股份有限公司藤县河西支行",""
"103622333317	","中国农业银行广西梧州市昭平县支行",""
"103622433611	","中国农业银行广西梧州市蒙山县支行",""
"103596619234	","中国农业银行股份有限公司平远城东支行",""
"103601068379	","中国农业银行股份有限公司清远清城支行",""
"103601068434	","中国农业银行股份有限公司清远汇祥路支行",""
"103601270206	","中国农业银行股份有限公司英德市支行",""
"103558056891	","中国农业银行股份有限公司常德江北支行",""
"103558151286	","中国农业银行股份有限公司安乡城郊分理处",""
"103581005111	","中国农业银行股份有限公司广州长江轻纺城支行",""
"103581005154	","中国农业银行股份有限公司广州中山大学支行",""
"103581005200	","中国农业银行股份有限公司广州珠江帝景支行",""
"103581005218	","中国农业银行股份有限公司广州逸景翠园支行",""
"103581005347	","中国农业银行股份有限公司广州沙溪支行",""
"103557543197	","中国农业银行股份有限公司平江县支行",""
"103557543488	","中国农业银行股份有限公司平江南江分理处",""
"103557642295	","中国农业银行股份有限公司汨罗市支行",""
"103558053326	","中国农业银行股份有限公司常德德山支行",""
"103558053383	","中国农业银行股份有限公司常德鼎城石公桥分理处",""
"103569083616	","中国农业银行股份有限公司吉首乾州支行",""
"103569284586	","中国农业银行股份有限公司泸溪浦市分理处",""
"103569586588	","中国农业银行股份有限公司保靖新街支行",""
"103569484095	","中国农业银行股份有限公司花垣县支行",""
"103569484079	","中国农业银行股份有限公司花垣边城广场分理处",""
"103558151489	","中国农业银行股份有限公司安乡下渔口分理处",""
"103584000523	","中国农业银行深圳城市绿洲支行",""
"103584000700	","中国农业银行深圳香蜜湖支行",""
"103584000718	","中国农业银行深圳竹子林支行",""
"103584000734	","中国农业银行深圳新沙支行",""
"103584000927	","中国农业银行深圳珠宝中心支行",""
"103586916110	","中国农业银行股份有限公司潮州太平支行",""
"103586916136	","中国农业银行股份有限公司潮州新荣支行",""
"103586916144	","中国农业银行股份有限公司潮州城新支行",""
"103586916152	","中国农业银行股份有限公司潮州湘桥支行",""
"103587216903	","中国农业银行股份有限公司潮安金石支行",""
"103586010139	","中国农业银行股份有限公司汕头阳光海岸支行",""
"103586011078	","中国农业银行股份有限公司汕头潮南支行",""
"103586217255	","中国农业银行股份有限公司饶平黄冈支行",""
"103586513078	","中国农业银行股份有限公司揭阳分行",""
"103586614121	","中国农业银行股份有限公司揭西县支行营业部",""
"103589037214	","中国农业银行股份有限公司江门炮台支行",""
"103603031079	","中国农业银行股份有限公司中山民权支行",""
"103622232167	","中国农业银行藤县支行营业室",""
"103624447018	","中国农业银行广西贵港市平南县支行",""
"103624642013	","中国农业银行广西玉林北流市支行",""
"103624843714	","中国农业银行广西玉林市博白县支行",""
"103624941612	","中国农业银行兴业县支行",""
"103601068387	","中国农业银行股份有限公司清远站前支行",""
"103601068491	","中国农业银行股份有限公司清远第二支行",""
"103601068522	","中国农业银行股份有限公司清远石角支行",""
"103601068547	","中国农业银行股份有限公司清远洲心支行",""
"103601068555	","中国农业银行股份有限公司清远高新开发区支行",""
"103631173817	","中国农业银行股份有限公司钦州郊区支行",""
