CNAPS号,银行名称,地址
************,************,************
"402171400565	","山西省原平市农村信用合作联社龙宫信用社",""
"402171400581	","山西省原平市农村信用合作联社长梁沟信用社",""
"402171400629	","山西省原平市农村信用合作联社利民信用社",""
"402171400645	","山西省原平市农村信用合作联社新建街信用社",""
"402171500058	","山西省代县农村信用合作联社枣林信用社",""
"402175900960	","山西平遥农村商业银行股份有限公司果子沟分理处",""
"402175901001	","山西平遥农村商业银行股份有限公司梁坡底分理处",""
"402175901010	","山西平遥农村商业银行股份有限公司朱坑支行",""
"402176101503	","介休市农村信用合作联社万户堡信用社",""
"402176101554	","介休市农村信用合作联社东湖龙信用社",""
"402181000300	","山西运城农村商业银行股份有限公司银湖支行",""
"402181000391	","山西运城农村商业银行股份有限公司安邑支行",""
"402181000463	","山西运城农村商业银行股份有限公司三路里支行",""
"402181000471	","山西运城农村商业银行股份有限公司上王支行",""
"402181000502	","山西运城农村商业银行股份有限公司北相支行",""
"402194580146	","克什克腾旗农村信用合作联社",""
"402194980190	","敖汉旗农村信用合作联社",""
"402197300019	","内蒙古呼伦贝尔市新巴尔虎左旗农村信用合作社联合社",""
"314312500209	","江苏江都农村商业银行股份有限公司昭关支行",""
"314307100016	","江苏赣榆农村商业银行股份有限公司(不办理转汇业务)",""
"314307100161	","江苏赣榆农村商业银行股份有限公司龙河支行",""
"314307100346	","江苏赣榆农村商业银行股份有限公司城头支行",""
"314307100395	","江苏赣榆农村商业银行股份有限公司欢墩支行",""
"314313200021	","江苏姜堰农村商业银行股份有限公司营业部",""
"314313202011	","江苏姜堰农村商业银行股份有限公司仲院分理处",""
"314313210014	","江苏姜堰农村商业银行股份有限公司大泗支行",""
"314313217013	","江苏姜堰农村商业银行股份有限公司梁徐支行",""
"314313222015	","江苏姜堰农村商业银行股份有限公司罡杨支行",""
"315653015011	","恒丰银行股份有限公司重庆大渡口支行",""
"315731012017	","恒丰银行股份有限公司昆明前卫西路支行",""
"316110000051	","浙商银行股份有限公司天津南开支行",""
"316221000021	","浙商银行股份有限公司沈阳分行营业部",""
