CNAPS号,银行名称,地址
************,************,************
"403611008992	","中国邮政储蓄银行有限责任公司广西壮族自治区南宁市分行营业部",""
"403611009024	","中国邮政储蓄银行股份有限公司广西壮族自治区分行（不对外营业）",""
"403611009049	","中国邮政储蓄银行有限责任公司武鸣县支行",""
"402894300096	","疏勒县农村信用合作联社库木西力克信用社",""
"402894400048	","英吉沙县农村信用合作联社龙甫信用社",""
"402894500047	","泽普县农村信用合作联社依玛信用社",""
"402894500135	","泽普县农村信用合作联社奎依巴格镇信用社",""
"402894600103	","莎车县农村信用合作联社吾达力克信用社",""
"403222000053	","中国邮政储蓄银行股份有限公司大连港湾支行",""
"403222099102	","中国邮政储蓄银行股份有限公司大连分行（不对外营业）",""
"403225100124	","中国邮政储蓄银行有限责任公司辽宁省本溪市田师傅支行",""
"403581001191	","中国邮政储蓄银行股份有限公司广州市白云支行",""
"403581020017	","中国邮政储蓄银行股份有限公司从化市支行",""
"403581040026	","中国邮政储蓄银行股份有限公司广州市石基大龙支行",""
"403581094006	","中国邮政储蓄银行有限责任公司从化市支行",""
"403599300010	","中国邮政储蓄银行股份有限公司阳东县支行",""
"403599300044	","中国邮政储蓄银行股份有限公司阳东县湖滨支行",""
"403601000018	","中国邮政储蓄银行股份有限公司清远市城区支行",""
"403601000114	","中国邮政储蓄银行股份有限公司清远市连江支行",""
"403601099001	","中国邮政储蓄银行清远分行（不对外营业）",""
"403612900594	","中国邮政储蓄银行有限责任公司大新县明仕路支行",""
"403613309023	","中国邮政储蓄银行有限责任公司龙州县支行",""
"403614200204	","中国邮政储蓄银行有限责任公司广西壮族自治区柳城县白阳南路支行",""
"402799703887	","宁强县农村信用合作联社铁锁关信用社",""
"402802103628	","陕西白河农村商业银行股份有限公司大双分理处",""
"402802103677	","陕西白河农村商业银行股份有限公司茅坡分理处",""
"402802103693	","陕西白河农村商业银行股份有限公司龙井分理处",""
"402803000046	","商洛市商州区农村信用合作联社夜村信用社",""
"402803000054	","商洛市商州区农村信用合作联社白杨店信用社",""
"402793301597	","岐山县农村信用合作联社罗局分社",""
"402793802679	","麟游县农村信用合作联社丈八信用社",""
"402793802718	","麟游县农村信用合作联社天堂分社",""
"402793902737	","凤县农村信用合作联社黄牛铺信用社",""
"402793902770	","凤县农村信用合作联社新建路分社",""
"402804701345	","陕西吴起农村合作银行新寨分理处",""
"402804701396	","陕西吴起农村合作银行开发区分理处",""
"402804801436	","陕西甘泉农村合作银行下寺湾支行",""
"402804901486	","陕西富县农村合作银行",""
"402804901525	","陕西富县农村合作银行张家湾支行",""
"402807102898	","陕西吴堡农村商业银行股份有限公司张家山分理处",""
"402807202920	","陕西清涧农村商业银行股份有限公司红巷口支行",""
"402807202979	","陕西清涧农村商业银行股份有限公司师家园则分理处",""
"402807203019	","陕西清涧农村商业银行股份有限公司石盘分理处",""
"402807203027	","陕西清涧农村商业银行股份有限公司店则沟分理处",""
"402793602291	","陕西陇县农村商业银行股份有限公司火烧寨分理处",""
"402793602347	","陕西陇县农村商业银行股份有限公司八渡分理处",""
"402793702434	","千阳县农村信用合作联社寇家河信用社",""
"402793802654	","麟游县农村信用合作联社招贤信用社",""
"402793902745	","凤县农村信用合作联社秦岭分社",""
"402795902967	","旬邑县农村信用合作联社原底信用社",""
"402821001472	","兰州市城关区农村信用合作联社甘南路信用社",""
"402821001569	","兰州市城关区农村信用合作联社雁兴路分社",""
"402821002027	","兰州市七里河区农村信用合作联社西园分社",""
"402821002051	","兰州市七里河区农村信用合作联社龚家湾分社",""
"402821002117	","兰州市七里河区农村信用合作联社任家庄分社",""
"402825303162	","甘谷县农村信用合作联社大庄信用社",""
"402825404087	","武山县农村信用合作联社郭槐信用社",""
"402825404134	","武山县农村信用合作联社温泉信用社",""
"402825404183	","武山县农村信用合作联社滩歌信用社",""
"402825303195	","甘谷县农村信用合作联社城关信用社",""
"402827603096	","山丹县农村信用合作联社马营信用社",""
"402754600147	","瑞丽市农村信用合作联社姐告分社",""
"402791000526	","西安市碑林区农村信用合作联社测绘局分社",""
"403335000050	","中国邮政储蓄银行股份有限公司嘉兴市王店镇支行",""
"403335300027	","中国邮政储蓄银行股份有限公司海盐县沈荡支行",""
"403461000038	","中国邮政储蓄银行股份有限公司济宁市金城支行",""
"403461099941	","中国邮政储蓄银行股份有限公司济宁市高新区支行",""
"403463400036	","中国邮政储蓄银行股份有限公司莱芜市文化路支行",""
"403465312237	","中国邮政储蓄银行股份有限公司荣成市支行",""
"403466000012	","中国邮政储蓄银行股份有限公司滨州市分行",""
"403538304032	","中国邮政储蓄银行湖北省沙洋县支行营业部",""
"403538304049	","中国邮政储蓄银行有限责任公司湖北省沙洋县李市镇支行",""
"403541000011	","中国邮政储蓄银行有限责任公司湖北省恩施土家族苗族自治州分行",""
"403541000222	","中国邮政储蓄银行恩施州航空路支行",""
"403541200224	","中国邮政储蓄银行有限责任公司湖北省利川市天桥支行",""
"403582400012	","中国邮政储蓄银行有限责任公司仁化县支行",""
"403582500013	","中国邮政储蓄银行股份有限公司乐昌市支行",""
"403582700058	","中国邮政储蓄银行股份有限公司乳源瑶族自治县支行",""
"403584000142	","中国邮政储蓄银行股份有限公司深圳田心支行",""
"402829202159	","甘肃省通渭县农村信用合作联社华岭信用社",""
"402829202206	","定西市通渭县常河信用社",""
"402829202214	","甘肃省通渭县农村信用合作联社李店信用社",""
"402829202263	","甘肃省通渭县农村信用合作联社西郊分社",""
"402801301493	","陕西石泉农村商业银行股份有限公司城中分理处",""
"402801401744	","宁陕县农村信用合作联社广货街信用社",""
"402801401816	","宁陕县农村信用合作联社龙王信用社",""
"402801501952	","陕西紫阳农村商业银行股份有限公司城关支行",""
"402801502020	","陕西紫阳农村商业银行股份有限公司焕古分理处",""
"402791006678	","西安市雁塔区农村信用合作联社小寨东路分社",""
"402791012393	","西安市莲湖区农村信用合作联社钟楼信用社",""
"402791021097	","西安市长安区农村信用合作联社里王分社",""
"402791021273	","西安市长安区农村信用合作联社镐京分社",""
"402791021503	","西安市长安区农村信用合作联社沣惠分社",""
"402831303209	","成县农村信用合作联社沙坝分社",""
"402831303276	","成县农村信用合作联社北街分社",""
"402831303284	","成县农村信用合作联社南桥分社",""
"402831303292	","成县农村信用合作联社大寨分社",""
"402831303305	","成县农村信用合作联社张旗分社",""
"402795301634	","泾阳县农村信用合作联社兴隆大街分社",""
"402795401688	","乾县农村信用合作联社峰阳信用社",""
"402795401782	","乾县农村信用合作联社北街信用社",""
"402795401854	","乾县农村信用合作联社东关分社",""
"402804000101	","延安市宝塔区农村信用合作联社东关分社",""
"402793401735	","扶风县农村信用合作联社新店信用社",""
"402793401778	","扶风县农村信用合作联社绛帐分社",""
